TLD,AbuseDomains,TotalDomainCount,abusePercent
om,61,3443,0.017717107173976183
reit,2,113,0.017699115044247787
pictet,1,58,0.017241379310344827
total,1,58,0.017241379310344827
ph,1518,90202,0.016828895146449082
barclays,2,119,0.01680672268907563
km,2,119,0.01680672268907563
bmw,2,122,0.01639344262295082
buzz,157,9863,0.015918077663996756
xn--gckr3f0f,1,63,0.015873015873015872
nra,2,128,0.015625
ne,10,640,0.015625
globo,1,66,0.015151515151515152
xn--fct429k,1,66,0.015151515151515152
luxe,67,4622,0.014495889225443532
mn,251,17397,0.014427774903719033
esurance,2,147,0.013605442176870748
post,1,75,0.013333333333333334
bradesco,2,150,0.013333333333333334
nr,4,303,0.013201320132013201
page,165,12532,0.013166294286626237
degree,36,2747,0.013105205678922462
bloomberg,1,77,0.012987012987012988
erni,1,79,0.012658227848101266
ru,61103,4875217,0.01253339082137267
leclerc,2,164,0.012195121951219513
abbott,2,169,0.011834319526627219
aq,1,85,0.011764705882352941
td,4,340,0.011764705882352941
bnpparibas,3,257,0.011673151750972763
linde,1,86,0.011627906976744186
goog,1,90,0.011111111111111112
ac,200,18277,0.010942714887563605
casa,79,7363,0.010729322287111232
pm,67,6361,0.010532935073101714
kz,1430,136666,0.01046346567544232
ml,13869,1334495,0.010392695364163972
xn--i1b6b1a6a2e,1,97,0.010309278350515464
er,1,98,0.01020408163265306
homes,37,3697,0.010008114687584528
ls,15,1508,0.009946949602122016
int,2,204,0.00980392156862745
storage,4,411,0.009732360097323601
abogado,3,311,0.00964630225080386
xn--1ck2e1b,1,104,0.009615384615384616
business,451,47225,0.009550026469031234
yachts,2,212,0.009433962264150943
vu,15,1609,0.009322560596643879
lamborghini,2,215,0.009302325581395349
moi,2,222,0.009009009009009009
cm,218,24246,0.008991173801864224
bible,12,1470,0.00816326530612245
rugby,2,250,0.008
xn--node,4,501,0.007984031936127744
osaka,5,644,0.007763975155279503
dev,906,117379,0.007718586800023854
im,224,29175,0.0076778063410454156
man,1,134,0.007462686567164179
auto,3,402,0.007462686567164179
security,2,268,0.007462686567164179
basketball,2,268,0.007462686567164179
rodeo,3,405,0.007407407407407408
weir,1,136,0.007352941176470588
bz,227,31057,0.007309141256399523
broadway,2,277,0.007220216606498195
xn--cck2b3b,1,141,0.0070921985815602835
info,33636,4761511,0.007064144134078447
space,1808,256112,0.0070594115074654835
fk,1,142,0.007042253521126761
weber,1,144,0.006944444444444444
pet,66,9605,0.0068714211348256116
okinawa,36,5245,0.006863679694947569
aco,2,296,0.006756756756756757
cc,4547,700313,0.006492811071620833
best,77,11929,0.006454857909296672
voto,2,312,0.00641025641025641
citic,1,158,0.006329113924050633
pics,40,6399,0.006250976715111736
tl,10,1656,0.006038647342995169
bi,16,2702,0.005921539600296077
tools,72,12406,0.005803643398355635
recipes,30,5170,0.005802707930367505
tatar,5,863,0.005793742757821553
site,5767,1021210,0.005647222412628157
bid,778,139263,0.005586552063362128
gq,12711,2278789,0.005577962681055596
net,73745,13636404,0.005407950659132715
pn,4,743,0.005383580080753701
forex,1,188,0.005319148936170213
xn--mgberp4a5d4ar,14,2719,0.0051489518205222505
va,2,389,0.005141388174807198
coupons,12,2335,0.005139186295503212
xyz,9974,2024376,0.00492695032938545
hoteles,2,411,0.004866180048661801
ar,2075,428161,0.004846307814116653
life,927,191818,0.004832706002564932
cf,13843,2865841,0.004830344739990809
gw,1,208,0.004807692307692308
insurance,1,210,0.004761904761904762
cw,4,852,0.004694835680751174
ga,14624,3136380,0.004662700310549104
icu,2135,461085,0.004630382684320678
baby,3,648,0.004629629629629629
aw,3,661,0.0045385779122541605
kh,16,3543,0.004515946937623483
boats,2,452,0.004424778761061947
nagoya,28,6375,0.004392156862745098
wedding,97,22180,0.004373309287646529
corsica,6,1376,0.00436046511627907
qpon,2,460,0.004347826086956522
me,3955,913473,0.004329629885065021
makeup,1,231,0.004329004329004329
xn--nqv7f,1,231,0.004329004329004329
tg,6,1401,0.004282655246252677
krd,2,467,0.004282655246252677
ro,2109,492470,0.004282494365138993
xn--d1acj3b,4,942,0.004246284501061571
in,8443,2000670,0.004220086271099182
gm,6,1427,0.004204625087596356
xn--vhquv,6,1430,0.004195804195804196
rip,13,3107,0.0041841004184100415
energy,46,11046,0.00416440340394713
bj,5,1223,0.004088307440719542
promo,24,5892,0.004073319755600814
wtf,54,13284,0.0040650406504065045
